"id","category","difficulty","question","answer_a","answer_b","answer_c","answer_d","correct_answer","explanation","source"
"q001","Personnages","facile","Quel personnage est un Éliatrope au centre de la série Wakfu?","Yugo","Chibi","Adamai","Qilby","A","Yugo est le héros de la série Wakfu.","/pages/personnages/yugo/"
"q002","Personnages","facile","Qui est le frère dragon du dofus de Yugo?","Adamai","Grougaloragran","Grougalorasalar","Ignemikhal","A","Adamai est le dragon jumeau associé à Yugo.","/pages/personnages/adamai/"
"q003","Personnages","facile","Comment s'appelle le tofu de Yugo ?","Az","Oz","Huz","Izi","A","Il s'agit bien de Az, un tofu qui l'accompagne depuis sa naissance.","/pages/personnages/evangelyne/"
"q004","Personnages","facile","Quel personnage est lié au royaume Sadida?","Amalia Sheran Sharm","Zabel Sheran Sharm","Joris","Yugo","A","Amalia appartient à la famille royale Sadida.","/pages/personnages/amalia-sheran-sharm/"
"q005","Personnages","facile","Qui manie habituellement Rubilax?","Goultard","Tristepin","Rushu","Yugo","B","Tristepin est le gardien du Shushu Rubilax.","/pages/personnages/tristepin/"
"q006","Personnages","facile","Quel personnage est connu pour son lien avec les Kamas ?","Ruel Stroud","Arpagone","Miranda","Kabrok","A","On aurait pu penser à Miranda mais Ruel a un amour pour les kamas imbattable.","/pages/personnages/ruel-stroud/"
"q007","Personnages","facile","Quel antagoniste Xélor cherche à remonter le temps ?","Nox","Comte Harebourg","Dieu Xélor","Cadence","A","Nox accumule du Wakfu pour tenter d'alimenter l'éliacube et réparer son passé.","/pages/personnages/nox/"
"q008","Personnages","facile","Quel Éliatrope est associé à la trahison et à une obsession pour son peuple?","Qilby","Chibi","Glip","Balthazar","A","Qilby est un Éliatrope majeur dont les choix menacent les siens.","/pages/personnages/qilby/"
"q009","Personnages","moyen","Qui est le roi des Shushus ?","Rushu","Rasha","Medoroziam","Ombrage","A","Rushu domine le plan des démons.","/pages/personnages/rushu/"
"q010","Personnages","moyen","Qui a manipulé Ogrest ?","Dathura","Oropo","Dame Echo","Yugo","A","Dathura a été manipulé par Oropo pour qu'elle manipule Ogrest, donc c'est Dathura.","/pages/personnages/ogrest/"
"q011","Personnages","moyen","Qui a gelé Frigost ?","Comte Harebourg","Nox","Djaul","Katar","C","En vengeance pour ses plans, Djaul a maudit les terres du Comte Harebourg.","/pages/personnages/comte-harebourg/"
"q012","Personnages","moyen","Quelle Huppermage fait partie de la lignée de Joris ?","Bakara","Lilotte","Kérubim","Atcham","A","Bakara Jurgen appartient à la lignée des Jurgen.","/pages/personnages/bakara-jurgen/"
